Tiempo,Presion
2.000961333,117.2599
2.005961333,116.50575
2.010961333,115.71514
2.015961333,114.89302
2.020961333,114.04378
2.025961333,113.17127
2.030961333,112.27907
2.035961333,111.37064
2.040961333,110.44959
2.045961333,109.5199
2.050961333,108.5861
2.055961333,107.65339
2.060961333,106.72772
2.065961333,105.81564
2.070961333,104.92404
2.075961333,104.05971
2.080961333,103.22893
2.085961333,102.43712
2.090961333,101.68869
2.095961333,100.9869
2.100961333,100.33386
2.105961333,99.73044
2.110961333,99.17631
2.115961333,98.66995
2.120961333,98.20885
2.125961333,97.78968
2.130961333,97.40858
2.135961333,97.06139
2.140961333,96.74381
2.145961333,96.45155
2.150961333,96.18043
2.155961333,95.92644
2.160961333,95.68583
2.165961333,95.45507
2.170961333,95.23079
2.175961333,95.00977
2.180961333,94.78888
2.185961333,94.56519
2.190961333,94.33603
2.195961333,94.09904
2.200961333,93.85221
2.205961333,93.59391
2.210961333,93.32283
2.215961333,93.03801
2.220961333,92.73883
2.225961333,92.42493
2.230961333,92.0962
2.235961333,91.75268
2.240961333,91.39464
2.245961333,91.02263
2.250961333,90.63763
2.255961333,90.24097
2.260961333,89.83425
2.265961333,89.41917
2.270961333,88.99736
2.275961333,88.57043
2.280961333,88.13998
2.285961333,87.70776
2.290961333,87.27556
2.295961333,86.84507
2.300961333,86.4176
2.305961333,85.99394
2.310961333,85.57426
2.315961333,85.1584
2.320961333,84.74605
2.325961333,84.33704
2.330961333,83.9314
2.335961333,83.52931
2.340961333,83.13097
2.345961333,82.73655
2.350961333,82.34611
2.355961333,81.95961
2.360961333,81.57688
2.365961333,81.19772
2.370961333,80.82196
2.375961333,80.44945
2.380961333,80.08022
2.385961333,79.71456
2.390961333,79.35323
2.395961333,78.99767
2.400961333,78.65015
2.405961333,78.31389
2.410961333,77.99317
2.415961333,77.69347
2.420961333,77.42158
2.425961333,77.18574
2.430961333,76.99574
2.435961333,76.86297
2.440961333,76.80046
2.445961333,76.8227
2.450961333,76.94547
2.455961333,77.18544
2.460961333,77.55972
2.465961333,78.08525
2.470961333,78.77809
2.475961333,79.65253
2.480961333,80.72008
2.485961333,81.98841
2.490961333,83.46029
2.495961333,85.13265
2.500961333,86.99596
2.505961333,89.03402
2.510961333,91.22417
2.515961333,93.53802
2.520961333,95.94244
2.525961333,98.40091
2.530961333,100.87513
2.535961333,103.32656
2.540961333,105.76307
2.545961333,108.01503
2.550961333,110.22657
2.555961333,112.20797
2.560961333,114.09118
2.565961333,115.75133
2.570961333,117.1937
2.575961333,118.49058
2.580961333,119.55239
2.585961333,120.46431
2.590961333,121.18285
2.595961333,121.7374
2.600961333,122.13999
2.605961333,122.40248
2.610961333,122.5362
2.615961333,122.55184
2.620961333,122.45937
2.625961333,122.26811
2.630961333,121.9868
2.635961333,121.6237
2.640961333,121.18659
2.645961333,120.68286
2.650961333,120.1195
2.655961333,119.50311
2.660961333,118.8398
2.665961333,118.13514
2.670961333,117.39409
2.675961333,116.62097
2.680961333,115.81953
2.685961333,114.99309
2.690961333,114.14471
2.695961333,113.2775
2.700961333,112.39487
2.705961333,111.50071
2.710961333,110.59954
2.715961333,109.69642
2.720961333,108.7969
2.725961333,107.90677
2.730961333,107.03193
2.735961333,106.17822
2.740961333,105.35123
2.745961333,104.55605
2.750961333,103.79702
2.755961333,103.0775
2.760961333,102.39971
2.765961333,101.76473
2.770961333,101.17256
2.775961333,100.62229
2.780961333,100.11231
2.785961333,99.64049
2.790961333,99.20436
2.795961333,98.80125
2.800961333,98.4283
2.805961333,98.08244
2.810961333,97.76035
2.815961333,97.4585
2.820961333,97.17317
2.825961333,96.90064
2.830961333,96.63723
2.835961333,96.3795
2.840961333,96.1243
2.845961333,95.8688
2.850961333,95.61045
2.855961333,95.34698
2.860961333,95.07639
2.865961333,94.79695
2.870961333,94.50719
2.875961333,94.20591
2.880961333,93.89223
2.885961333,93.56563
2.890961333,93.22594
2.895961333,92.87326
2.900961333,92.50786
2.905961333,92.1301
2.910961333,91.74044
2.915961333,91.33952
2.920961333,90.92822
2.925961333,90.50776
2.930961333,90.07963
2.935961333,89.64554
2.940961333,89.20716
2.945961333,88.76604
2.950961333,88.32338
2.955961333,87.88004
2.960961333,87.43664
2.965961333,86.99366
2.970961333,86.55159
2.975961333,86.11096
2.980961333,85.67229
2.985961333,85.23602
2.990961333,84.80239
2.995961333,84.37137
3.000961333,83.94275
3.005961333,83.51618
3.010961333,83.09127
3.015961333,82.66766
3.020961333,82.24506
3.025961333,81.82337
3.030961333,81.40291
3.035961333,80.98456
3.040961333,80.56998
3.045961333,80.16167
3.050961333,79.76303
3.055961333,79.37842
3.060961333,79.01327
3.065961333,78.67421
3.070961333,78.36913
3.075961333,78.10725
3.080961333,77.89914
3.085961333,77.75667
3.090961333,77.69298
3.095961333,77.72242
3.100961333,77.86038
3.105961333,78.12297
3.110961333,78.52657
3.115961333,79.08717
3.120961333,79.81953
3.125961333,80.73622
3.130961333,81.84658
3.135961333,83.15566
3.140961333,84.66322
3.145961333,86.36296
3.150961333,88.24216
3.155961333,90.28172
3.160961333,92.45663
3.165961333,94.73672
3.170961333,97.0877
3.175961333,99.47257
3.180961333,101.85309
3.185961333,104.19143
3.190961333,106.45162
3.195961333,108.60096
3.200961333,110.61118
3.205961333,112.4593
3.210961333,114.12834
3.215961333,115.6076
3.220961333,116.89257
3.225961333,117.98433
3.230961333,118.8886
3.235961333,119.61447
3.240961333,120.17308
3.245961333,120.57641
3.250961333,120.83643
3.255961333,120.96461
3.260961333,120.97179
3.265961333,120.86814
3.270961333,120.66322
3.275961333,120.366
3.280961333,119.98481
3.285961333,119.52738
3.290961333,119.00087
3.295961333,118.41195
3.300961333,117.76693
3.305961333,117.07172
3.310961333,116.33185
3.315961333,115.55244
3.320961333,114.73825
3.325961333,113.89383
3.330961333,113.02357
3.335961333,112.13186
3.340961333,111.2231
3.345961333,110.30173
3.350961333,109.37232
3.355961333,108.43961
3.360961333,107.50874
3.365961333,106.58541
3.370961333,105.67596
3.375961333,104.78714
3.380961333,103.9258
3.385961333,103.0984
3.390961333,102.31046
3.395961333,101.56627
3.400961333,100.86873
3.405961333,100.21936
3.410961333,99.61851
3.415961333,99.06545
3.420961333,98.5586
3.425961333,98.0956
3.430961333,97.67346
3.435961333,97.28874
3.440961333,96.93768
3.445961333,96.61641
3.450961333,96.32098
3.455961333,96.04744
3.460961333,95.79185
3.465961333,95.55034
3.470961333,95.31911
3.475961333,95.09453
3.480961333,94.87312
3.485961333,94.65158
3.490961333,94.4269
3.495961333,94.19643
3.500961333,93.95803
3.505961333,93.71004
3.510961333,93.45131
3.515961333,93.18105
3.520961333,92.89875
3.525961333,92.60404
3.530961333,92.29673
3.535961333,91.97677
3.540961333,91.64431
3.545961333,91.29968
3.550961333,90.9434
3.555961333,90.57623
3.560961333,90.19914
3.565961333,89.81326
3.570961333,89.41982
3.575961333,89.01998
3.580961333,88.61467
3.585961333,88.2045
3.590961333,87.78981
3.595961333,87.37083
3.600961333,86.94783
3.605961333,86.52127
3.610961333,86.09183
3.615961333,85.66034
3.620961333,85.22755
3.625961333,84.79402
3.630961333,84.36005
3.635961333,83.9259
3.640961333,83.49188
3.645961333,83.05868
3.650961333,82.62743
3.655961333,82.19979
3.660961333,81.77796
3.665961333,81.36462
3.670961333,80.96306
3.675961333,80.57726
3.680961333,80.21213
3.685961333,79.87366
3.690961333,79.56916
3.695961333,79.30723
3.700961333,79.09787
3.705961333,78.9524
3.710961333,78.88342
3.715961333,78.90467
3.720961333,79.03098
3.725961333,79.28472
3.730961333,79.65988
3.735961333,80.19335
3.740961333,80.89175
3.745961333,81.76734
3.750961333,82.85161
3.755961333,84.07944
3.760961333,85.55189
3.765961333,87.14856
3.770961333,88.98813
3.775961333,90.9488
3.780961333,93.04273
3.785961333,95.24003
3.790961333,97.46868
3.795961333,99.82425
3.800961333,102.13643
3.805961333,104.41407
3.810961333,106.62202
3.815961333,108.72772
3.820961333,110.70245
3.825961333,112.5224
3.830961333,114.16944
3.835961333,115.63146
3.840961333,116.90233
3.845961333,117.98149
3.850961333,118.87309
3.855961333,119.58499
3.860961333,120.12763
3.865961333,120.51284
3.870961333,120.75291
3.875961333,120.85991
3.880961333,120.84524
3.885961333,120.71952
3.890961333,120.4925
3.895961333,120.17316
3.900961333,119.76965
3.905961333,119.28947
3.910961333,118.73952
3.915961333,118.12629
3.920961333,117.45601
3.925961333,116.73469
3.930961333,115.96812
3.935961333,115.16181
3.940961333,114.32091
3.945961333,113.45037
3.950961333,112.555
3.955961333,111.63969
3.960961333,110.70962
3.965961333,109.77046
3.970961333,108.82849
3.975961333,107.89067
3.980961333,106.96444
3.985961333,106.05751
3.990961333,105.17741
3.995961333,104.33106
4.000961333,103.52442
4.005961333,102.76225
4.010961333,102.048
4.015961333,101.38384
4.020961333,100.77072
4.025961333,100.20854
4.030961333,99.69632
4.035961333,99.23227
4.040961333,98.81396
4.045961333,98.43836
4.050961333,98.10189
4.055961333,97.80056
4.060961333,97.53008
4.065961333,97.28604
4.070961333,97.06401
4.075961333,96.8596
4.080961333,96.66847
4.085961333,96.48636
4.090961333,96.30915
4.095961333,96.13305
4.100961333,95.95465
4.105961333,95.77102
4.110961333,95.57971
4.115961333,95.3787
4.120961333,95.16634
4.125961333,94.94124
4.130961333,94.70229
4.135961333,94.44857
4.140961333,94.17934
4.145961333,93.89409
4.150961333,93.59254
4.155961333,93.27483
4.160961333,92.94158
4.165961333,92.59384
4.170961333,92.23288
4.175961333,91.86
4.180961333,91.47624
4.185961333,91.08232
4.190961333,90.67871
4.195961333,90.26564
4.200961333,89.84318
4.205961333,89.41137
4.210961333,88.97023
4.215961333,88.51993
4.220961333,88.06089
4.225961333,87.59385
4.230961333,87.1198
4.235961333,86.63991
4.240961333,86.15537
4.245961333,85.66749
4.250961333,85.17776
4.255961333,84.68819
4.260961333,84.20151
4.265961333,83.72141
4.270961333,83.25273
4.275961333,82.80154
4.280961333,82.37519
4.285961333,81.98224
4.290961333,81.63246
4.295961333,81.33673
4.300961333,81.107
4.305961333,80.95629
4.310961333,80.89861
4.315961333,80.94887
4.320961333,81.1226
4.325961333,81.43557
4.330961333,81.90326
4.335961333,82.54018
4.340961333,83.359
4.345961333,84.36955
4.350961333,85.57779
4.355961333,86.98477
4.360961333,88.58581
4.365961333,90.37003
4.370961333,92.32034
4.375961333,94.41384
4.380961333,96.62256
4.385961333,98.91445
4.390961333,101.25468
4.395961333,103.607
4.400961333,105.93515
4.405961333,108.20433
4.410961333,110.38244
4.415961333,112.44119
4.420961333,114.35695
4.425961333,116.11129
4.430961333,117.69125
4.435961333,119.08929
4.440961333,120.30294
4.445961333,121.33412
4.450961333,122.18823
4.455961333,122.87327
4.460961333,123.39885
4.465961333,123.77548
4.470961333,124.01396
4.475961333,124.12496
4.480961333,124.11873
4.485961333,124.00496
4.490961333,123.79267
4.495961333,123.49022
4.500961333,123.10542
4.505961333,122.64562
4.510961333,122.11776
4.515961333,121.52831
4.520961333,120.88329
4.525961333,120.18822
4.530961333,119.44806
4.535961333,118.66731
4.540961333,117.85005
4.545961333,117.00011
4.550961333,116.12134
4.555961333,115.21787
4.560961333,114.29441
4.565961333,113.3565
4.570961333,112.41058
4.575961333,111.46392
4.580961333,110.52441
4.585961333,109.60022
4.590961333,108.69944
4.595961333,107.82962
4.600961333,106.9974
4.605961333,106.2081
4.610961333,105.4655
4.615961333,104.77176
4.620961333,104.12764
4.625961333,103.53273
4.630961333,102.98576
4.635961333,102.48482
4.640961333,102.0275
4.645961333,101.61098
4.650961333,101.2321
4.655961333,100.88749
4.660961333,100.57355
4.665961333,100.28646
4.670961333,100.02207
4.675961333,99.77586
4.680961333,99.54302
4.685961333,99.31873
4.690961333,99.09843
4.695961333,98.87801
4.700961333,98.65392
4.705961333,98.42314
4.710961333,98.18313
4.715961333,97.93184
4.720961333,97.66769
4.725961333,97.38959
4.730961333,97.09695
4.735961333,96.78952
4.740961333,96.46736
4.745961333,96.13069
4.750961333,95.77991
4.755961333,95.4156
4.760961333,95.03853
4.765961333,94.64967
4.770961333,94.25008
4.775961333,93.84085
4.780961333,93.42296
4.785961333,92.99727
4.790961333,92.56449
4.795961333,92.12523
4.800961333,91.68009
4.805961333,91.22963
4.810961333,90.77438
4.815961333,90.3148
4.820961333,89.85122
4.825961333,89.38391
4.830961333,88.91318
4.835961333,88.43943
4.840961333,87.96324
4.845961333,87.48541
4.850961333,87.00708
4.855961333,86.52984
4.860961333,86.05591
4.865961333,85.58817
4.870961333,85.13037
4.875961333,84.68717
4.880961333,84.26429
4.885961333,83.86851
4.890961333,83.50779
4.895961333,83.19121
4.900961333,82.92905
4.905961333,82.73273
4.910961333,82.61483
4.915961333,82.58906
4.920961333,82.67012
4.925961333,82.87354
4.930961333,83.21534
4.935961333,83.71144
4.940961333,84.37753
4.945961333,85.24414
4.950961333,86.26631
4.955961333,87.5338
4.960961333,88.97686
4.965961333,90.58658
4.970961333,92.45049
4.975961333,94.41627
4.980961333,96.61409
4.985961333,98.89559
4.990961333,101.27024
4.995961333,103.70281
5.000961333,106.15613
5.005961333,108.59269
5.010961333,110.9763
5.015961333,113.27351
5.020961333,115.45479
5.025961333,117.4954
5.030961333,119.37592
5.035961333,121.08242
5.040961333,122.60655
5.045961333,123.94515
5.050961333,125.09971
5.055961333,126.07552
5.060961333,126.88069
5.065961333,127.52504
5.070961333,128.0192
5.075961333,128.37389
5.080961333,128.59938
5.085961333,128.70532
5.090961333,128.70062
5.095961333,128.59352
5.100961333,128.3916
5.105961333,128.10195
5.110961333,127.73118
5.115961333,127.28548
5.120961333,126.77071
5.125961333,126.19234
5.130961333,125.55546
5.135961333,124.86469
5.140961333,124.1242
5.145961333,123.33782
5.150961333,122.50923
5.155961333,121.64224
5.160961333,120.74105
5.165961333,119.81041
5.170961333,118.85574
5.175961333,117.88317
5.180961333,116.89945
5.185961333,115.91181
5.190961333,114.92774
5.195961333,113.95473
5.200961333,113.00005
5.205961333,112.07051
5.210961333,111.17224
5.215961333,110.31056
5.220961333,109.4898
5.225961333,108.71318
5.230961333,107.98283
5.235961333,107.29979
5.240961333,106.66406
5.245961333,106.07473
5.250961333,105.53016
5.255961333,105.02817
5.260961333,104.56618
5.265961333,104.14133
5.270961333,103.75047
5.275961333,103.39022
5.280961333,103.05701
5.285961333,102.74712
5.290961333,102.45674
5.295961333,102.18198
5.300961333,101.91896
5.305961333,101.66397
5.310961333,101.4135
5.315961333,101.16439
5.320961333,100.91382
5.325961333,100.65925
5.330961333,100.39844
5.335961333,100.12942
5.340961333,99.85056
5.345961333,99.56065
5.350961333,99.2589
5.355961333,98.94488
5.360961333,98.61842
5.365961333,98.27957
5.370961333,97.92853
5.375961333,97.56571
5.380961333,97.19164
5.385961333,96.80697
5.390961333,96.41231
5.395961333,96.00817
5.400961333,95.59497
5.405961333,95.17309
5.410961333,94.74302
5.415961333,94.3053
5.420961333,93.86052
5.425961333,93.40921
5.430961333,92.95167
5.435961333,92.48799
5.440961333,92.01811
5.445961333,91.542
5.450961333,91.05988
5.455961333,90.57238
5.460961333,90.08059
5.465961333,89.58614
5.470961333,89.09113
5.475961333,88.59822
5.480961333,88.11078
5.485961333,87.63308
5.490961333,87.17041
5.495961333,86.72924
5.500961333,86.31729
5.505961333,85.94349
5.510961333,85.61799
5.515961333,85.35203
5.520961333,85.15807
5.525961333,85.04967
5.530961333,85.04149
5.535961333,85.14901
5.540961333,85.38814
5.545961333,85.77458
5.550961333,86.32319
5.555961333,87.04724
5.560961333,87.95764
5.565961333,89.06206
5.570961333,90.36411
5.575961333,91.8626
5.580961333,93.55083
5.585961333,95.41622
5.590961333,97.44025
5.595961333,99.59884
5.600961333,101.86316
5.605961333,104.20063
5.610961333,106.57625
5.615961333,108.95394
5.620961333,111.29803
5.625961333,113.57457
5.630961333,115.7526
5.635961333,117.80516
5.640961333,119.71005
5.645961333,121.45036
5.650961333,123.01474
5.655961333,124.3974
5.660961333,125.59765
5.665961333,126.61918
5.670961333,127.46896
5.675961333,128.15615
5.680961333,128.69107
5.685961333,129.08431
5.690961333,129.34617
5.695961333,129.48622
5.700961333,129.51317
5.705961333,129.43486
5.710961333,129.25844
5.715961333,128.99052
5.720961333,128.63735
5.725961333,128.20477
5.730961333,127.69829
5.735961333,127.12294
5.740961333,126.4834
5.745961333,125.78396
5.750961333,125.02872
5.755961333,124.22168
5.760961333,123.36692
5.765961333,122.46875
5.770961333,121.5319
5.775961333,120.56164
5.780961333,119.56386
5.785961333,118.54515
5.790961333,117.51269
5.795961333,116.47419
5.800961333,115.43768
5.805961333,114.4114
5.810961333,113.4035
5.815961333,112.42178
5.820961333,111.47333
5.825961333,110.56418
5.830961333,109.69914
5.835961333,108.8817
5.840961333,108.11406
5.845961333,107.3972
5.850961333,106.73093
5.855961333,106.11409
5.860961333,105.54475
5.865961333,105.02045
5.870961333,104.53844
5.875961333,104.0958
5.880961333,103.68941
5.885961333,103.31595
5.890961333,102.97189
5.895961333,102.65356
5.900961333,102.3572
5.905961333,102.0791
5.910961333,101.81555
5.915961333,101.56295
5.920961333,101.31771
5.925961333,101.07631
5.930961333,100.83542
5.935961333,100.59192
5.940961333,100.34304
5.945961333,100.08641
5.950961333,99.82001
5.955961333,99.5422
5.960961333,99.25161
5.965961333,98.94711
5.970961333,98.62784
5.975961333,98.29324
5.980961333,97.94319
5.985961333,97.57804
5.990961333,97.19858
5.995961333,96.80585
6.000961333,96.40104
6.005961333,95.98538
6.010961333,95.56024
6.015961333,95.1272
6.020961333,94.68811
6.025961333,94.24505
6.030961333,93.80015
6.035961333,93.35542
6.040961333,92.91252
6.045961333,92.47277
6.050961333,92.03715
6.055961333,91.60647
6.060961333,91.18149
6.065961333,90.76289
6.070961333,90.35125
6.075961333,89.94683
6.080961333,89.54948
6.085961333,89.15875
6.090961333,88.77401
6.095961333,88.39467
6.100961333,88.02029
6.105961333,87.65052
6.110961333,87.28506
6.115961333,86.9235
6.120961333,86.56535
6.125961333,86.21018
6.130961333,85.8578
6.135961333,85.50845
6.140961333,85.16294
6.145961333,84.82277
6.150961333,84.48984
6.155961333,84.16288
6.160961333,83.86175
6.165961333,83.57192
6.170961333,83.31945
6.175961333,83.09671
6.180961333,82.92666
6.185961333,82.81757
6.190961333,82.78101
6.195961333,82.83133
6.200961333,82.99141
6.205961333,83.26909
6.210961333,83.68335
6.215961333,84.24995
6.220961333,84.98353
6.225961333,85.89683
6.230961333,86.99977
6.235961333,88.29847
6.240961333,89.79426
6.245961333,91.48279
6.250961333,93.3535
6.255961333,95.38949
6.260961333,97.56782
6.265961333,99.86021
6.270961333,102.23406
6.275961333,104.6538
6.280961333,107.08234
6.285961333,109.48261
6.290961333,111.81909
6.295961333,114.05912
6.300961333,116.17413
6.305961333,118.14049
6.310961333,119.94013
6.315961333,121.56074
6.320961333,122.99574
6.325961333,124.24373
6.330961333,125.30775
6.335961333,126.19424
6.340961333,126.91205
6.345961333,127.4715
6.350961333,127.88362
6.355961333,128.15955
6.360961333,128.31011
6.365961333,128.34543
6.370961333,128.27477
6.375961333,128.10642
6.380961333,127.8477
6.385961333,127.50513
6.390961333,127.08457
6.395961333,126.5913
6.400961333,126.03014
6.405961333,125.40549
6.410961333,124.72138
6.415961333,123.98155
6.420961333,123.18964
6.425961333,122.34939
6.430961333,121.46487
6.435961333,120.54076
6.440961333,119.58243
6.445961333,118.59609
6.450961333,117.58879
6.455961333,116.56835
6.460961333,115.54326
6.465961333,114.5224
6.470961333,113.51481
6.475961333,112.52932
6.480961333,111.57422
6.485961333,110.65696
6.490961333,109.7838
6.495961333,108.95969
6.500961333,108.1881
6.505961333,107.47104
6.510961333,106.80904
6.515961333,106.20129
6.520961333,105.64582
6.525961333,105.13975
6.530961333,104.67959
6.535961333,104.2615
6.540961333,103.88144
6.545961333,103.53525
6.550961333,103.21874
6.555961333,102.92763
6.560961333,102.65757
6.565961333,102.40426
6.570961333,102.16351
6.575961333,101.93149
6.580961333,101.70477
6.585961333,101.48043
6.590961333,101.25594
6.595961333,101.02912
6.600961333,100.798
6.605961333,100.56078
6.610961333,100.31576
6.615961333,100.06135
6.620961333,99.79604
6.625961333,99.51844
6.630961333,99.22736
6.635961333,98.92187
6.640961333,98.60142
6.645961333,98.2659
6.650961333,97.91565
6.655961333,97.55141
6.660961333,97.17424
6.665961333,96.78543
6.670961333,96.38646
6.675961333,95.97898
6.680961333,95.56479
6.685961333,95.14583
6.690961333,94.72405
6.695961333,94.30133
6.700961333,93.87937
6.705961333,93.45962
6.710961333,93.04324
6.715961333,92.63108
6.720961333,92.22366
6.725961333,91.82127
6.730961333,91.42399
6.735961333,91.03188
6.740961333,90.64506
6.745961333,90.26371
6.750961333,89.88796
6.755961333,89.51776
6.760961333,89.15279
6.765961333,88.79245
6.770961333,88.43604
6.775961333,88.0829
6.780961333,87.7325
6.785961333,87.38449
6.790961333,87.03871
6.795961333,86.69533
6.800961333,86.355
6.805961333,86.01911
6.810961333,85.68987
6.815961333,85.37042
6.820961333,85.06487
6.825961333,84.77836
6.830961333,84.51724
6.835961333,84.28922
6.840961333,84.10354
6.845961333,83.97103
6.850961333,83.90404
6.855961333,83.91628
6.860961333,84.02253
6.865961333,84.23821
6.870961333,84.57896
6.875961333,85.06009
6.880961333,85.69606
6.885961333,86.49982
6.890961333,87.48203
6.895961333,88.65024
6.900961333,90.00787
6.905961333,91.55337
6.910961333,93.27948
6.915961333,95.17288
6.920961333,97.21425
6.925961333,99.37881
6.930961333,101.63726
6.935961333,103.95698
6.940961333,106.30327
6.945961333,108.6407
6.950961333,110.93445
6.955961333,113.15161
6.960961333,115.26251
6.965961333,117.24177
6.970961333,119.06921
6.975961333,120.73035
6.980961333,122.21653
6.985961333,123.52452
6.990961333,124.65579
6.995961333,125.61543
7.000961333,126.41102
7.005961333,127.05171
7.010961333,127.54739
7.015961333,127.90814
7.020961333,128.1437
7.025961333,128.26317
7.030961333,128.27479
7.035961333,128.18588
7.040961333,128.00292
7.045961333,127.73166
7.050961333,127.37735
7.055961333,126.94488
7.060961333,126.43899
7.065961333,125.86434
7.070961333,125.22564
7.075961333,124.52759
7.080961333,123.77491
7.085961333,122.97233
7.090961333,122.12461
7.095961333,121.23661
7.100961333,120.31343
7.105961333,119.36059
7.110961333,118.38414
7.115961333,117.39088
7.120961333,116.38831
7.125961333,115.38458
7.130961333,114.38825
7.135961333,113.40794
7.140961333,112.45191
7.145961333,111.52764
7.150961333,110.64153
7.155961333,109.79873
7.160961333,109.00316
7.165961333,108.2575
7.170961333,107.56325
7.175961333,106.92076
7.180961333,106.32927
7.185961333,105.78696
7.190961333,105.29117
7.195961333,104.83859
7.200961333,104.42554
7.205961333,104.04812
7.210961333,103.70229
7.215961333,103.38386
7.220961333,103.08844
7.225961333,102.81144
7.230961333,102.54814
7.235961333,102.29392
7.240961333,102.0444
7.245961333,101.79566
7.250961333,101.54431
7.255961333,101.28748
7.260961333,101.02289
7.265961333,100.74877
7.270961333,100.4638
7.275961333,100.16707
7.280961333,99.85799
7.285961333,99.53629
7.290961333,99.20197
7.295961333,98.85527
7.300961333,98.49668
7.305961333,98.1268
7.310961333,97.7464
7.315961333,97.35631
7.320961333,96.95739
7.325961333,96.55055
7.330961333,96.13671
7.335961333,95.71617
7.340961333,95.28426
7.345961333,94.86242
7.350961333,94.4235
7.355961333,93.99776
7.360961333,93.56306
7.365961333,93.12305
7.370961333,92.69972
7.375961333,92.26638
7.380961333,91.85211
7.385961333,91.4297
7.390961333,91.02209
7.395961333,90.6223
7.400961333,90.23069
7.405961333,89.84735
7.410961333,89.47196
7.415961333,89.10382
7.420961333,88.74193
7.425961333,88.38509
7.430961333,88.03204
7.435961333,87.68163
7.440961333,87.33301
7.445961333,86.98569
7.450961333,86.63953
7.455961333,86.29462
7.460961333,85.95108
7.465961333,85.60895
7.470961333,85.26819
7.475961333,84.92891
7.480961333,84.59168
7.485961333,84.25788
7.490961333,83.92994
7.495961333,83.61155
7.500961333,83.30771
7.505961333,83.02489
7.510961333,82.77108
7.515961333,82.55591
7.520961333,82.39063
7.525961333,82.288
7.530961333,82.26208
7.535961333,82.32798
7.540961333,82.50148
7.545961333,82.79874
7.550961333,83.23589
7.555961333,83.82857
7.560961333,84.59135
7.565961333,85.53695
7.570961333,86.67524
7.575961333,88.01213
7.580961333,89.54847
7.585961333,91.2793
7.590961333,93.19343
7.595961333,95.27354
7.600961333,97.49668
7.605961333,99.83499
7.610961333,102.25682
7.615961333,104.72793
7.620961333,107.21279
7.625961333,109.67597
7.630961333,112.08343
7.635961333,114.40385
7.640961333,116.60971
7.645961333,118.67818
7.650961333,120.59162
7.655961333,122.33767
7.660961333,123.9091
7.665961333,125.30335
7.670961333,126.52191
7.675961333,127.56948
7.680961333,128.45315
7.685961333,129.18145
7.690961333,129.76356
7.695961333,130.20873
7.700961333,130.52588
7.705961333,130.72348
7.710961333,130.80948
7.715961333,130.79141
7.720961333,130.67633
7.725961333,130.47088
7.730961333,130.18119
7.735961333,129.81293
7.740961333,129.37127
7.745961333,128.86097
7.750961333,128.28644
7.755961333,127.65179
7.760961333,126.9609
7.765961333,126.21744
7.770961333,125.42498
7.775961333,124.58707
7.780961333,123.70739
7.785961333,122.78983
7.790961333,121.83869
7.795961333,120.8588
7.800961333,119.85569
7.805961333,118.83569
7.810961333,117.80593
7.815961333,116.77425
7.820961333,115.74896
7.825961333,114.73857
7.830961333,113.7513
7.835961333,112.79468
7.840961333,111.87508
7.845961333,110.9975
7.850961333,110.16547
7.855961333,109.38113
7.860961333,108.64544
7.865961333,107.95839
7.870961333,107.31922
7.875961333,106.72675
7.880961333,106.17947
7.885961333,105.67558
7.890961333,105.21293
7.895961333,104.78885
7.900961333,104.40005
7.905961333,104.04268
7.910961333,103.71252
7.915961333,103.4052
7.920961333,103.11641
7.925961333,102.84203
7.930961333,102.57808
